ARS,Arsenal
AST,Aston Villa
CHE,Chelsea
EVE,Everton
BUR,Burnley
MNC,Manchester City
MNU,Manchester United
LIV,Liverpool
HUL,Hull City
LEI,Leicester City
PAL,Crystal Palace
NEW,Newcastle United
SUN,Sunderland
TOT,Tottenham
SOT,Southampton
QPR,Queens Park Rangers
SWA,Swansea City
STO,Stoke City
WHU,West Ham United
WAT,Watford
BOU,Bournemouth
NOR,Norwich
WBA,West Bromwich Albion
FUL,Fulham
IPS,Ipswich
DER,Derby County
HUD,Huddersfield
LEE,Leeds
WOL,Wolves
REA,Reading
MID,Middlesbrough
BIR,Birmingham
WIG,Wigan
BHA,Brighton
FOR,Nottingham Forest
CAR,Cardiff City
SHW,Sheffield Wednesday
BLA,Blackburn Rovers
BOL,Bolton Wanderers
BRE,Brentford
MIL,Millwall
PRE,Preston
JUV,Juventus
BAR,Barcelona
RMD,Real Madrid
CHA,Charlton
ROM,Roma
OLD,Oldham
NAP,Napoli
SHU,Sheffield United
PLY,Plymouth
SWI,Swindon
EXE,Exeter
BLA,Blackpool
INT,Inter Milan
OXF,Oxford United
DON,Doncaster
MKD,MK Dons
LUT,Luton
LAZ,Lazio
COV,Coventry City
ROT,Rotherham United
MIL,Milan
VAL,Valencia
FLE,Fleetwood
SEV,Sevilla
WIM,Wimbledon
YOR,York
YEO,Yeovil Town
PET,Peterborough
GIL,Gillingham
SCU,Scunthorpe
ACC,Accrington
BRI,Bristol City
WYC,Wycombe
BAR,Barnsley
LEY,Leyton Orient
SHR,Shrewsbury
TOR,Torino
AMD,Atletico Madrid
MUN,Bayern Munich
CAM,Cambridge United
GEN,Genoa
NOT,Notts County
UDN,Udinese
ATA,Atalanta
LYN,Lyon
ROC,Rochdale
POR,Portsmouth
SAM,Sampdoria
CRE,Crewe
COL,Colchester United
ESP,Espanyol
BRA,Bradford City
PVL,Port Vale
MAL,Malaga
TRA,Tranmere Rovers
STE,Stevenage
WAL,Walsall
NEW,Newport
DEP,Deportivo
LIL,Lille
MAR,Marseille
CHE,Chesterfield
DOR,Borussia Dortmund
CRA,Crawley Town
MON,Monaco
HOF,Hoffenheim
DAG,Dagenham and Redbridge
CAR,Carlisle United
PAL,Palermo
GET,Getafe
NIC,Nice
TOU,Toulouse
EMP,Empoli
CAG,Cagliari
VIL,Villarreal
WOL,Wolfsburg
PAR,Parma
CHV,Chievo
LEV,Levante
BUR,Burton Albion
GRA,Granada
ZUR,Zurich
NOR,Northampton
BAY,Bayer Leverkusen
HAN,Hannover
KOL,Koln
SAS,Sassuolo
SOU,Southend United
REN,Rennes
CHL,Cheltenham
NAN,Nantes
FIR,Fiorentina
PSG,Paris Saint German
MOR,Morecambe
RSD,Real Sociedad
AUG,Augsburg
BUR,Bury
MAN,Mansfield Town
SCK,Schalke
STU,Stuttgart
MAI,Mainz
HAR,Hartlepool
CAE,Caen
LOR,Lorient
BRE,Werder Bremen
BAS,Basel
GAL,Galatasaray
EBA,Eibar
HAM,Hamburger
EIN,Eintracht Frankfurt
ALM,Almeria
VER,Hellas Verona
FRE,Freiburg
HER,Hertha
MOT,Montpellier
CLV,Celta Vigo
MET,Metz
BOR,Bordeaux
MON,Borussia Monchengladbach
BES,Besiktas
CES,Cesena
LEN,Lens
YBY,Young Boys
ZEN,Zenit St-Petersburg
ABB,Athletic Bilbao
TOR,Toronto
LGX,LA Galaxy
CKM,CSKA Moscow
BAS,Bastia
FEN,Fenerbahce
PAD,Paderborn
COD,Cordoba
GUN,Guingamp
ASS,Saint Etienne
LKM,Lokomotiv Moscow
DCU,DC United
EVA,Evian
DNM,Dynamo Moscow
TRA,Trabzonspor
ELE,Elche
SPA,Spartak Moscow
RVA,Rayo Vallecano
BUR,Bursaspor
NRB,New York Red Bulls
THU,Thun
KRA,Krasnodar
KAZ,Rubin Kazan
RSL,Real Salt Lake
CHF,Chicago Fire
ORL,Orlando City
VCW,Vancouver Whitecaps
FCD,Dallas
VAD,Vaduz
UFA,Ufa
GRA,Grasshoppers
NWE,New England
HSD,Houston Dynamo
AJA,Ajaccio
PTT,Portland Timbers
CRP,Colorado Rapids
AME,America
MTI,Montreal Impact
URA,Ural
SKC,Sporting Kansas City
SSO,Seattle Sounders
GAL,Gallen
CCR,Columbus Crew
LUC,Lucerne
SDR,Stade Reims
PUN,Philadelphia Union
KKA,Kuban Krasnodar
ARS,Arsenal Tula
SJE,Earthquakes
AAR,Aarau
ROS,Rostov
GAZ,Gaziantepspor
AKP,Amkar Perm
ISB,Istanbul Buyuksehir
MOR,Mordovia
TMW,Torpedo Moscow
TRG,Terek Grozny
SST,Sion Sitten
